Order ID,Product Name,Category,Quantity,Price,Total Amount,Date
1001,Laptop,Electronics,2,80000,160000,2026-07-01
1002,Mouse,Electronics,5,1500,7500,2026-07-02
1003,Office Chair,Furniture,3,12000,36000,2026-07-03
1004,Notebook,Stationery,20,250,5000,2026-07-04
1005,Printer,Electronics,1,35000,35000,2026-07-05
1006,Desk,Furniture,2,18000,36000,2026-07-06
1007,Pen Pack,Stationery,15,200,3000,2026-07-07
1008,Monitor,Electronics,2,40000,80000,2026-07-08
1009,Bookshelf,Furniture,1,25000,25000,2026-07-09
1010,Keyboard,Electronics,4,2500,10000,2026-07-10
1011,Calculator,Stationery,6,1800,10800,2026-07-11
1012,Table,Furniture,2,22000,44000,2026-07-12
1013,Headphones,Electronics,3,6000,18000,2026-07-13
1014,Whiteboard,Stationery,2,4500,9000,2026-07-14
1015,Sofa,Furniture,1,75000,75000,2026-07-15
1016,USB Drive,Electronics,10,1200,12000,2026-07-16
1017,Marker Set,Stationery,12,300,3600,2026-07-17
1018,Cabinet,Furniture,2,28000,56000,2026-07-18
1019,Projector,Electronics,1,65000,65000,2026-07-19
1020,Diary,Stationery,18,500,9000,2026-07-20
1021,Coffee Table,Furniture,2,15000,30000,2026-07-21
1022,Webcam,Electronics,4,7000,28000,2026-07-22
1023,File Folder,Stationery,25,150,3750,2026-07-23
1024,Bookshelf,Furniture,2,26000,52000,2026-07-24
1025,Smartphone,Electronics,3,90000,270000,2026-07-25
